Date,Open,High,Low,Close,Vol
9/17/2013,47773000,47621000,48016000,47582000,39150
9/18/2013,47426000,47865000,47943000,47352000,39010
9/19/2013,47609000,47799000,47899000,47569000,35570
9/20/2013,47719000,47612000,47719000,47470000,84260
9/23/2013,47909000,47679000,47909000,47506000,46170
9/24/2013,48282000,47888000,48378000,47885000,82400
9/25/2013,48622000,48241000,48898000,48241000,80660
9/26/2013,48511000,48628000,48788000,48261000,49670
9/27/2013,48661000,48468000,48782000,48385000,47130
9/30/2013,49263000,48712000,49265000,48670000,68460
10/1/2013,49224000,49192000,49659000,49134000,102080
10/2/2013,49439000,49258000,49686000,49258000,77330
10/3/2013,49230000,49500000,49500000,49159000,62670
10/4/2013,49750000,49217000,49773000,49043000,59720
10/7/2013,50047000,49745000,50216000,49692000,72100
10/8/2013,50222000,50053000,50264000,49758000,72190
10/9/2013,50067000,50128000,50252000,49898000,64400
10/10/2013,49481000,50034000,50164000,49481000,66510
10/11/2013,49453000,49671000,49858000,49453000,53530
10/14/2013,49362000,49431000,49567000,49281000,38400
10/15/2013,49572000,49303000,49572000,49237000,50450
10/16/2013,49896000,49559000,50060000,49502000,69930
10/17/2013,49959000,50188000,50264000,49883000,64100
10/18/2013,50083000,49989000,50139000,49791000,69750
10/21/2013,50157000,50180000,50372000,50025000,112330
10/22/2013,50057000,50094000,50295000,49874000,74970
10/23/2013,50405000,50141000,50481000,50141000,82430
10/24/2013,50117000,50347000,50574000,50064000,86400
10/25/2013,50075000,50280000,50317000,49953000,74170
10/28/2013,49646000,50127000,50186000,49646000,73720
10/29/2013,49708000,49466000,49774000,49401000,57870
10/30/2013,49907000,49800000,50097000,49795000,48370
10/31/2013,49741000,50004000,50059000,49741000,43350
11/1/2013,49708000,49921000,49927000,49693000,42530
11/4/2013,49707000,49725000,49849000,49568000,65130
11/5/2013,49979000,49738000,50028000,49584000,75860
11/6/2013,50252000,50083000,50252000,49958000,81850
11/7/2013,49986000,50140000,50330000,49929000,106540
11/8/2013,49861000,49880000,50047000,49833000,72790
11/11/2013,50108000,49803000,50108000,49741000,93280
11/12/2013,49765000,50081000,50136000,49679000,121980
11/13/2013,49612000,49690000,49862000,49568000,64530
11/14/2013,49785000,49667000,49882000,49612000,65070
11/15/2013,50134000,49788000,50212000,49772000,91220
11/18/2013,50648000,50333000,50741000,50333000,115880
11/19/2013,50471000,50545000,50763000,50471000,96550
11/20/2013,50552000,50468000,50575000,50298000,107160
11/21/2013,50354000,50700000,51021000,50354000,173940
11/22/2013,50564000,50452000,50646000,50283000,106380
11/25/2013,50646000,50694000,50972000,50608000,97380
11/26/2013,50916000,50698000,51075000,50465000,93480
11/27/2013,50843000,51096000,51325000,50766000,102740
11/28/2013,50771000,50853000,50915000,50699000,82130
11/29/2013,50778000,50742000,50878000,50605000,101250
12/2/2013,50853000,50913000,50948000,50710000,77690
12/3/2013,51162000,50813000,51483000,50813000,125500
12/4/2013,51088000,51201000,51340000,51066000,111830
12/5/2013,51003000,51039000,51221000,50752000,103880
12/6/2013,51012000,51003000,51237000,50976000,78640
12/9/2013,51123000,51413000,51413000,51094000,102310
12/10/2013,51160000,51210000,51383000,51024000,80980
12/11/2013,50531000,51174000,51181000,50490000,103540
12/12/2013,50692000,50377000,50768000,50376000,80160
12/13/2013,50606000,50707000,50935000,50549000,67670
12/16/2013,50204000,50346000,50652000,50204000,62700
12/17/2013,50567000,50324000,50567000,50220000,73600
12/18/2013,50525000,50510000,50611000,50366000,62330
12/19/2013,50628000,50590000,50804000,50492000,111080
12/20/2013,50445000,50739000,50829000,50445000,142430
12/23/2013,50868000,50660000,50941000,50573000,108210
12/24/2013,50562000,50861000,50954000,50562000,91410
12/25/2013,50442000,50637000,50653000,50303000,73610
12/26/2013,50655000,50441000,50757000,50359000,82920
12/27/2013,50641000,50708000,51009000,50641000,73740
12/30/2013,50035000,50635000,50702000,50035000,94290
12/31/2013,50463000,50004000,50644000,49949000,60920
1/2/2014,50451000,50561000,50671000,50304000,57720
1/3/2014,50537000,50441000,50628000,50394000,55600
1/6/2014,50910000,50574000,50910000,50428000,68740
1/7/2014,51012000,51084000,51300000,50987000,74360
1/8/2014,51390000,51103000,51420000,50901000,70300
1/9/2014,51698000,51366000,51698000,51352000,91490
1/10/2014,51894000,51833000,52306000,51824000,107180
1/13/2014,52111000,51931000,52232000,51878000,71990
1/14/2014,52231000,52113000,52459000,52063000,94870
1/15/2014,52668000,52372000,52709000,52245000,127580
1/16/2014,53354000,52883000,53354000,52790000,97750
1/17/2014,54359000,53681000,54988000,53681000,118070
1/20/2014,55367000,54822000,55993000,54822000,105720
1/21/2014,55991000,55572000,56018000,54765000,100920
1/22/2014,55192000,56134000,56461000,55192000,125280
1/23/2014,55355000,55088000,55650000,55052000,73720
1/24/2014,56019000,55566000,56019000,55346000,88010
1/27/2014,55652000,56045000,56049000,55635000,67550
2/6/2014,55468000,55551000,55729000,55145000,89240
2/7/2014,54976000,55771000,55851000,54937000,124970
2/10/2014,55590000,55041000,55590000,54856000,110190
2/11/2014,55390000,55974000,56183000,55390000,175050
2/12/2014,56425000,55555000,56425000,55426000,126100
2/13/2014,57018000,56758000,57068000,56527000,147120
2/14/2014,57222000,57309000,57618000,56938000,142810
2/17/2014,57020000,57191000,57285000,56789000,163690
2/18/2014,57456000,57080000,57456000,57016000,160280
2/19/2014,57812000,57853000,57880000,57386000,159100
2/20/2014,57104000,57964000,58410000,56531000,259680
2/21/2014,57057000,57095000,57461000,56533000,124760
2/24/2014,57658000,57194000,57658000,57007000,119030
2/25/2014,58620000,57549000,58620000,57549000,143520
2/26/2014,58981000,59064000,59079000,58296000,157700
2/27/2014,58479000,58782000,59640000,58479000,225210
2/28/2014,58648000,58612000,59136000,58163000,119410
3/3/2014,57338000,58665000,58711000,57337000,143300
3/4/2014,56997000,56934000,57228000,56355000,125570
3/5/2014,57494000,56997000,57750000,56997000,105930
3/6/2014,57856000,57617000,58004000,57458000,141310
3/7/2014,57975000,57940000,58224000,57910000,157000
3/10/2014,58369000,58084000,58481000,57998000,145030
3/11/2014,58850000,58510000,58945000,58220000,162490
3/12/2014,59002000,59094000,59638000,59002000,177880
3/13/2014,59522000,59083000,59522000,59036000,133780
3/14/2014,59683000,59620000,60068000,59451000,163990
3/17/2014,60036000,60305000,60324000,59870000,170180
3/18/2014,59985000,60201000,60321000,59778000,205400
3/19/2014,60559000,60073000,60591000,60042000,192010
3/20/2014,60026000,60739000,60851000,60003000,192920
3/21/2014,60175000,60026000,60722000,60026000,229960
3/24/2014,60755000,60655000,60920000,60418000,194820
3/25/2014,60185000,60901000,60946000,60185000,261350
3/26/2014,58806000,60354000,60368000,58752000,259090
3/27/2014,59014000,58894000,59170000,58281000,151340
3/28/2014,59429000,59282000,59570000,59059000,122370
