TradingDate;Open;High;Low;Close;Volume
2022-04-20;140163000;141064000;138472000;138472000;68833000
2022-04-21;138472000;139233000;135658000;137021000;81067000
2022-04-22;137021000;139289000;135243000;137923000;83441000
2022-04-25;137923000;138213000;129838000;131092000;76288000
2022-04-26;131092000;134134000;126140000;134134000;72765000
2022-04-27;134134000;135592000;131481000;135377000;51956000
2022-04-28;135377000;135807000;134410000;135099000;48512000
2022-04-29;135099000;136931000;134324000;136680000;59840000
2022-05-04;136611000;136639000;134868000;134868000;52829000
2022-05-05;134868000;136218000;133141000;136068000;53108000
2022-05-06;136068000;136068000;132813000;132926000;56407000
2022-05-09;132926000;132926000;126554000;126962000;67376000
2022-05-10;126962000;129356000;123257000;129356000;66548000
2022-05-11;129356000;130517000;127791000;130153000;41823000
2022-05-12;130153000;130153000;123805000;123884000;55789000
2022-05-13;123884000;123884000;118060000;118277000;81699000
2022-05-16;118277000;121596000;117059000;117195000;58439000
2022-05-17;117195000;122837000;115654000;122837000;58396000
2022-05-18;122837000;124984000;122292000;124076000;56636000
2022-05-19;124076000;124666000;121043000;124164000;49673000
2022-05-20;124164000;125296000;123233000;124071000;50469000
2022-05-23;124071000;124658000;120799000;121881000;55743000
2022-05-24;121881000;123338000;120328000;123338000;52848000
2022-05-25;123338000;126843000;123338000;126843000;65524000
2022-05-26;126843000;127811000;126155000;126857000;54191000
2022-05-27;126857000;128699000;126857000;128545000;60722000
2022-05-30;128545000;129622000;128127000;129392000;58723000
2022-05-31;129392000;129764000;128044000;129268000;59109000
2022-06-01;129268000;130225000;128601000;129952000;57363000
2022-06-02;129952000;130266000;128332000;128862000;57255000
2022-06-03;128862000;129278000;127637000;128798000;47381000
2022-06-06;128798000;130214000;128195000;129001000;58989000
2022-06-07;129001000;129135000;126092000;129135000;67087000
2022-06-08;129135000;131678000;129135000;130791000;58457000
2022-06-09;130791000;131244000;130085000;130780000;46566000
2022-06-10;130780000;130959000;128408000;128408000;60329000
2022-06-13;128408000;128408000;122601000;122704000;73345000
2022-06-14;122704000;123936000;121113000;123031000;56089000
2022-06-15;123031000;123556000;119519000;121393000;68812000
2022-06-16;121393000;124632000;121393000;123663000;56169000
2022-06-17;123663000;123663000;119192000;121730000;73858000
2022-06-20;121837000;122160000;118040000;118040000;66955000
2022-06-21;118040000;118997000;116294000;117247000;69493000
2022-06-22;117247000;118586000;116298000;116927000;59248000
2022-06-23;116927000;118888000;116206000;118888000;44078000
2022-06-24;118888000;119685000;118548000;118548000;47869000
2022-06-27;118548000;120351000;118548000;120282000;52696000
2022-06-28;120282000;122174000;119899000;121810000;58839000
2022-06-29;121810000;121958000;120738000;121809000;56059000
2022-06-30;121809000;122051000;119760000;119760000;51022000
2022-07-01;119760000;120241000;117095000;119890000;53407000
2022-07-04;120647000;120896000;119263000;119553000;44282000
2022-07-05;119553000;120099000;118129000;118129000;61200000
2022-07-06;118129000;118129000;114763000;114961000;55646000
2022-07-07;114961000;116648000;114280000;116648000;41179000
2022-07-08;116648000;117718000;116423000;117131000;47637000
2022-07-11;117131000;117131000;114455000;115529000;53871000
2022-07-12;115529000;117482000;115355000;117482000;52511000
2022-07-13;117346000;118221000;117092000;117392000;56400000
2022-07-14;117392000;118217000;117004000;118217000;53474000
2022-07-15;118217000;118966000;117812000;117925000;60401000
2022-07-18;117925000;118493000;117470000;117649000;52373000
2022-07-19;117649000;118046000;116899000;117833000;53269000
2022-07-20;117833000;119863000;117833000;119414000;64800000
2022-07-21;119414000;120191000;119414000;119847000;53031000
2022-07-22;119847000;120269000;119476000;119476000;47795000
2022-07-25;119143000;119816000;118432000;118850000;43785000
2022-07-26;118850000;119415000;118444000;118507000;43480000
2022-07-27;118507000;119104000;117858000;119104000;44514000
2022-07-28;119104000;121403000;119104000;120812000;66886000
2022-07-29;120812000;121784000;120633000;120633000;59032000
2022-08-01;120633000;123135000;120633000;123135000;70871000
2022-08-02;123135000;124191000;122411000;124162000;81769000
2022-08-03;124162000;125020000;123241000;124976000;78952000
2022-08-04;124976000;125738000;124738000;125415000;72475000
2022-08-05;125025000;125375000;124505000;125274000;69864000
2022-08-08;125236000;125884000;125204000;125675000;69934000
2022-08-09;125675000;126314000;125284000;125885000;72164000
2022-08-10;125885000;126036000;125389000;125650000;65176000
