Date;Open;High;Low;Price;Vol.
9/14/2018;987.95;995.55;987.95;991.34;178.48K
9/17/2018;990.65;993.83;987.02;987.61;164.61K
9/18/2018;983.43;993.49;981.89;993.49;197.39K
9/19/2018;998.65;1,001.83;994.5;995.54;244.42K
9/20/2018;995.54;1,004.74;995.54;1,004.74;204.56K
9/21/2018;1,006.25;1,009.10;1,000.39;1,002.97;302.45K
9/24/2018;1,007.52;1,011.29;1,007.45;1,011.29;186.72K
9/25/2018;1,011.94;1,014.53;1,008.67;1,010.74;231.99K
9/26/2018;1,008.93;1,014.86;1,007.44;1,009.61;261.51K
9/27/2018;1,012.57;1,017.78;1,010.49;1,015.37;207.78K
9/28/2018;1,019.34;1,020.84;1,015.40;1,017.13;247.22K
2018-01-10;1,019.49;1,023.87;1,012.88;1,012.88;247.86K
2018-02-10;1,014.26;1,021.51;1,013.11;1,018.79;358.39K
2018-03-10;1,021.08;1,024.59;1,016.47;1,020.40;174.39K
2018-04-10;1,024.68;1,024.68;1,020.40;1,023.62;196.62K
2018-05-10;1,020.21;1,020.77;1,008.39;1,008.39;294.15K
2018-08-10;1,003.31;1,006.13;996.12;996.12;205.52K
2018-09-10;998.7;1,001.87;996.19;996.19;202.59K
2018-10-10;998.66;999.62;991.22;993.96;191.36K
2018-11-10;972.21;972.21;938.83;945.89;353.53K
2018-12-10;939.2;970.08;933.35;970.08;228.89K
10/15/2018;968.8;969.36;951.64;951.64;144.31K
10/16/2018;950.36;963.69;950.36;963.37;149.13K
10/17/2018;973.14;975.27;969.06;971.6;152.27K
10/18/2018;968.93;970.75;962.68;963.47;145.46K
10/19/2018;949.94;959.63;945.83;958.36;153.57K
10/22/2018;958.36;963.79;953.51;953.51;147.53K
10/23/2018;950.12;950.42;925.29;939.68;202.94K
10/24/2018;935.25;939.06;922.73;922.73;149.35K
10/25/2018;902.59;912.07;885.34;910.17;177.77K
10/26/2018;918.11;918.16;900.82;900.82;157.34K
10/29/2018;895.05;897.84;884.92;888.82;139.99K
10/30/2018;881.32;894.8;880.85;888.69;133.32K
10/31/2018;894.23;914.76;894.23;914.76;216.19K
2018-01-11;915.52;918.84;905.73;907.96;182.19K
2018-02-11;911.35;927.62;910.4;924.86;222.36K
2018-05-11;920.87;925.53;915.77;925.53;136.55K
2018-06-11;931;931.27;921.93;922.05;139.12K
2018-07-11;922.03;924.6;915.41;922.16;143.11K
2018-08-11;928.69;932.86;925.54;926.28;145.78K
2018-09-11;921.11;925.31;914.29;914.29;149.09K
2018-12-11;909.36;918.99;903.95;918.12;125.02K
11/13/2018;904.35;910.2;903.48;905.38;170.03K
11/14/2018;904.16;910.58;898.83;900.93;142.27K
11/15/2018;901.13;903.83;892.5;897.15;166.09K
11/16/2018;901.44;903.21;894.14;898.19;160.63K
11/19/2018;902.65;916.06;900.61;916.06;149.94K
11/20/2018;909.76;919.02;909.76;919.02;159.14K
11/21/2018;909.83;922.56;907.47;922.56;152.76K
11/22/2018;924.93;926.15;922.02;924.42;155.62K
11/23/2018;923.91;925.84;916.87;917.97;137.97K
11/26/2018;915.67;921.96;914.43;921.03;118.73K
11/27/2018;925.12;930.37;921.26;923.12;152.64K
11/28/2018;923.12;930.2;922.03;930.2;136.36K
11/29/2018;934.88;937.75;926.79;926.79;131.82K
11/30/2018;924.49;928.92;921.08;926.54;158.59K
2018-03-12;937.7;951.59;937.1;951.59;209.83K
2018-04-12;952.97;960.44;950.89;958.84;227.42K
2018-05-12;950.34;960.87;946.97;957.14;212.46K
2018-06-12;957.14;959.59;948.44;954.82;179.14K
2018-07-12;956.49;962.39;955.96;958.59;190.46K
2018-10-12;955.06;958.25;951.5;955.89;213.52K
2018-11-12;955.93;957.97;949.34;954.58;180.82K
2018-12-12;956.32;961.28;956;961.28;222.07K
12/13/2018;961.28;966.83;960.1;960.25;171.86K
12/14/2018;958.78;960.09;951.04;952.04;200.32K
12/17/2018;948.09;948.09;933.65;933.65;255.17K
12/18/2018;933.65;933.65;917.03;927.25;175.72K
12/19/2018;926.35;927.03;914.55;919.24;186.09K
12/20/2018;915.5;921.79;914.18;918.24;146.89K
12/21/2018;911.57;915.02;907.88;912.26;199.11K
12/24/2018;910.86;916.41;908.56;908.56;158.97K
12/25/2018;893.71;897.94;882.17;897.94;250.43K
12/26/2018;896.63;899.49;890.86;891.75;139.07K
12/27/2018;904.8;906.63;900.81;900.81;151.69K
12/28/2018;903.79;903.79;892.54;892.54;175.94K
2019-02-01;900.1;900.1;891.1;891.75;111.52K
2019-03-01;889.78;892.21;872.12;878.22;156.58K
2019-04-01;872.69;881.48;861.85;880.9;136.57K
2019-07-01;890.47;896.63;885.3;889.64;127.55K
2019-08-01;891.37;891.87;883.67;887.44;112.83K
2019-09-01;890.26;897.25;888.61;896.99;160.51K
2019-10-01;897.85;899.47;895.17;898.3;130.59K
2019-11-01;899.1;904.37;899.1;902.71;131.41K
1/14/2019;903.83;903.83;897.18;901.8;143.85K
1/15/2019;901.21;909.68;898.92;909.68;127.19K
1/16/2019;911.32;912.48;906.39;908.7;164.29K
1/17/2019;908.48;909.06;901.89;901.89;133.89K
1/18/2019;902.7;906.35;900.64;902.3;140.75K
1/21/2019;905.25;911.74;903.09;911.05;165.63K
1/22/2019;912.73;913.37;906.55;906.55;152.16K
1/23/2019;905.73;910.12;905.12;908.18;129.14K
1/24/2019;908.56;910.59;906.59;908.79;110.29K
1/25/2019;908.86;911.59;907.96;908.88;117.59K
1/28/2019;912.53;913.43;908.9;912.18;133.32K
1/29/2019;913.67;915.93;907.09;915.93;121.44K
1/30/2019;914.08;917.8;913.48;915.84;139.40K
1/31/2019;919.12;920.36;910.38;910.65;138.05K
2019-01-02;911.98;912.81;907.52;908.67;140.80K
2019-11-02;916.21;926.1;916.07;926.1;124.64K
2019-12-02;930.37;938.64;926.98;937.54;188.42K
2/13/2019;937.61;945.25;937.34;945.25;215.28K
2/14/2019;946.54;953.66;945.99;952.34;181.06K
2/15/2019;951.9;955.4;948.26;950.89;160.69K
2/18/2019;954.85;961.3;953.32;961.3;194.65K
2/19/2019;962.84;971.92;962.81;964.35;231.96K
2/20/2019;963.29;972.75;963.29;970.58;170.88K
2/21/2019;972.82;987.57;970.31;987.57;178.58K
2/22/2019;983.99;993.16;982.86;988.91;215.63K
2/25/2019;996.06;999.9;992.72;994.43;227.74K
2/26/2019;991.63;996.44;979.24;987.06;251.65K
2/27/2019;989.61;994.46;988.09;990.27;258.93K
2/28/2019;989.84;990.25;965.47;965.47;224.81K
2019-01-03;971.05;980.82;970.54;979.63;170.04K
2019-04-03;983.5;994.46;983.33;993.99;235.64K
2019-05-03;990.08;1,000.25;987.92;992.45;297.44K
